"Relevance", "Relevansi"
"Review", "Ulasan"
"Reviews", "Ulasan"
"Review Details", "Detail Ulasan"
"Write Your Own Review", "Tulis Ulasan Anda"
"You're reviewing:", "Anda sedang menilai:"
"Let us know your thoughts", "Tuliskan ulasan Anda"
"Summary of Your Review", "Pendapat Anda tentang produk ini"
"Back to My Reviews", "Kembali ke Ulasan"
"Your Review (submitted on %s):", "Ulasan Anda (dibuat tanggal %s):"
"What's your nickname?", "Nama Anda"
"<span><span>Submit Review</span></span>", "<span><span>Simpan Ulasan</span></span>"
"Be the first to review this product", "Jadilah yang pertama menilai produk ini"
"Qty", "Jml"
"Ordered", "Dipesan"
"Add to Cart", "Beli Sekarang"
"View More", "Lihat Semua"
"You have placed no orders.", "Anda belum membeli produk apapun"
"There are no products matching the selection.", "Produk tidak ditemukan"
"barang", "produk"
 
"---Login---", ""
"Have been registered?", "Sudah terdaftar?"
"Don''t have account?", "Tidak punya Akun?"
"Forgot your password?", "Lupa kata sandi?"
"Current Password", "Kata Sandi Lama"
"New Password", "Kata Sandi Baru"
"Confirm New Password", "Konfirmasi Kata Sandi Baru"
"Email or Password is wrong!", "Email atau kata sandi salah!"
"Save", "Simpan"
"Get Reward", "Dapatkan Reward"
"Card Number", "Nomor Kartu"
"Your Ace/Informa/Toys Kingdom point", "Poin Anda"
"I agree to terms and conditions", "Saya menyetujui syarat & ketentuan yang berlaku"
"Voucher Code", "Kode Gift Voucher"
"Voucher", "Tipe Gift Voucher"
"Date Expires", "Berlaku hingga"
"Balance", "Saldo"
"No Gift Card Voucher available", "Anda tidak memiliki gift voucher"
"Change shipping / billing address", "Ubah alamat pengiriman / penagihan"
"View order history and order status", "Lihat pesanan dan status pesanan"
"REVIEW PRODUCT", "ULASAN PRODUK"
"View reviews have been write", "Lihat ulasan produk yang telah dibuat"
"Subscribe promo newsletter", "Berlangganan Newsletter"
"Your wishlist products", "Produk di wishlist Anda"
"Enter your email", "Masukkan email Anda"
"Add New Address", "Masukkan Alamat Baru"
"Contact Information", "Data Pribadi"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.", "Permintaan Anda telah disimpan dan akan segera direspon secepat mungkin. Terima kasih karena telah menghubungi kami."
"Edit Address", "Ubah Alamat"
"Address", "Alamat"
"Default Billing Address", "Alamat Utama"
"Use as my default shipping address", "Gunakan sebagai alamat utama"
"Street Address", "Alamat Lengkap"
"Company", "Perusahaan"
"Country", "Negara"
"City", "Kota"
"State/Province", "Provinsi"
"Please select region, state or province", "Silakan pilih wilayah atau provinsi"
"Zip/Postal Code", "Kode Pos"
"Save Address", "Simpan"
"You have submitted no reviews", "Anda belum mengulas produk apapun"
"Your review has been accepted for moderation.", "Ulasan Anda telah disimpan dan akan dimoderasi terlebih dahulu"
"You have no items in your wishlist", "Belum ada produk di wishlist Anda"
"Are you sure you want to remove this product from your wishlist?", "Apakah Anda ingin menghapus produk ini dari wishlist?"
"Search results for ''", "Hasil pencarian untuk ''"
"Your search returns no results.", "Hasil pencarian Anda tidak menghasilkan apapun"
"You are now logged out", "Anda telah keluar dari Akun Anda"
"You have logged out and will be redirected to our homepage in 5 seconds.", "Anda telah keluar dari akun Anda dan akan segera dialihkan ke homepage kami dalam 5 detik"
"Login or Create an Account", "Daftar sekarang atau buat akun"
"New Here?", "Belum Mendaftar?"
"Registration is free and easy!", "Caranya mudah dan banyak keuntungannya!"
"Faster checkout", "Belanja lebih mudah"
"Save multiple shipping addresses", "Dapat menyimpan banyak alamat pengiriman sekaligus"
"View and track orders and more", "Dapat melihat status pesanan dan masih banyak lagi"
"Create an Account", "Buat Akun"
"Already registered?", "Sudah terdaftar?"
"If you have an account with us, please log in.", "Silakan login jika Anda sudah memiliki akun"
"* Required Fields", "*wajib diisi"
"If there is an account associated with %s you will receive an email with a link to reset your password.", "Jika ada akun yang terkait dengan %s, maka Anda akan menerima email dengan link untuk mengubah kata sandi Anda"
"Your password has been updated.", "Kata sandi Anda telah diubah"
"Retrieve your password here", "Lihat kata sandi Anda disini"
"Your password reset link has expired.", "Link perubahan kata sandi Anda tidak berlaku lagi"
"Forgot Password?", "Lupa kata sandi?"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.", "Silakan masukkan 6 karakter atau lebih. Spasi diawal dan diakhir kata sandi tidak akan dihitung."
"Please make sure your passwords match.", "Pastikan kata sandi Anda cocok"

"---Register---", ""
"Registration", "Daftar"
"DO YOU WANT TO INTEGRATE YOUR MEMBERSHIP CARD WITH RUPARUPA?", "Ingin menghubungkan kartu Member Anda dengan Ruparupa?"
"Member Card", "Kartu Member"
"Create Account", "Buat Akun"
"Register Now", "Daftar Sekarang"
"Yes", "Ya"
"No", "Tidak"
"TOYSKINGDOM Member Id", "Nomor Member Toys Kingdom"
"ACE Member Id", "Nomor Member Ace"
"INFORMA Member Id", "Nomor Member Informa"
"Email Address", "Alamat Email"
"Password", "Kata sandi"
"Confirm Password", "Ulangi kata sandi"
"OR REGISTER WITH YOUR SOCIAL MEDIA ACCOUNT", "atau daftar dengan Sosmed"
"Register with Facebook", "Daftar dengan Facebook"
"Details", "Detail"
 
"---Forgot Password---", ""
"", ""
 
"---Shopping Cart---", ""
"Shopping Cart", "Troli Belanja"
"Shopping Cart2", "Detail Pesanan"
"You have placed no orders", "Anda belum membeli produk apapun"
"click here", "klik disini"
"You have no items in your shopping cart.", "Anda belum membeli produk apapun"
"Quantity", "Jumlah"
"Unit Price", "Harga"
"exclude delivery", "diluar ongkir"
"Proceed to Checkout", "Lanjut"
"Check Gift Card status and balance", "Cek status dan saldo Gift Voucher"
"Continue", "Lanjut"
"Shipping", "Pengiriman"
"Shipping & Handling (Standar - Free Ongkir)", "Ongkos kirim (Gratis)"
"Place Order", "Pesan"
"Wrong or expired Gift Card Code.", "Kode Gift Voucher Anda tidak dapat digunakan"
"This is a required field.", "Wajib diisi"
"Current Balance: ", "Saldo: "
"Expires: ", "Berlaku hingga: "
"There is no store listed", "Stok tidak tersedia di store"
"Apply to your other items", "Berlaku untuk produk Anda lainnya"
"Stock:", "Stok:"

"---Checkout---", ""
"Select Store", "Pilih Store"
"View Cart", "Lihat Pesanan"
"Ship To", "Dikirim ke"
"Items Ordered", "Produk yang Dipesan"
"Have Gift?", "Punya gift voucher?"
"Have Discount Codes?", "Punya kupon diskon?"
"Your order has been received.", "Pesanan Anda sedang diproses"
"Your order # is: %s.", "Nomor pesanan Anda adalah: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.", "Anda akan mendapat email konfirmasi dengan detail pesanan dan link untuk menelusuri pesanan Anda"
'"Click <a href="%s" onclick="this.target=\''_blank\''">here to print</a> a copy of your order confirmation."', ' "Klik <a href="%s" onclick="this.target=\''_blank\''">di sini untuk mencetak</a> salinan konfirmasi pesanan Anda."'
"Continue Shopping", "Kembali   "
"Thank you for your purchase!", "Terima kasih sudah berbelanja!"
"Back", "Kembali"
"+ New Address", "+ Alamat baru"
"Payment", "Pembayaran"
"Total Payment", "TOTAL PEMBAYARAN"
"Pending Payment", "Belum Dibayar"
"Expire", "Batal"
"Back to My Orders", "Kembali ke Pesanan"
"Warranty", "Garansi"
"Shipping Method", "Metode Pengiriman"
"Payment Method", "Metode Pembayaran"
"-- Select bank --", "-- Pilih bank --"
"-- Select tenor --","-- Pilih tenor --"
"Credit Card Number","Nomor Kartu Kredit"
"Name on Card", "Nama Pemegang Kartu Kredit"
"Expiration Date", "Tanggal Expire"
"Card Verification Number", "CVV (3 digit terakhir di belakang kartu kredit Anda)"
"Credit Card", "Kartu Kredit"
"Nomor Order", "Nomor Pesanan"
"Order Date: ", "Tanggal Pesanan: "
"Order Information", "Informasi Pesanan"
"Shipments", "Pengiriman"
"About This Order :", "Pesanan Saya"
"TOTAL PAYMENT", "TOTAL PEMBAYARAN"
"Order Date: %s", "Tanggal Pesanan: %s"
"Track all shipments", "Lihat Semua Pengiriman"
"Print All Shipments", "Cetak Semua Pengiriman"
"Shipment #", "Pengiriman #"
"Print Shipment", "Cetak Pengiriman"
"Track this shipment", "Cek Status Pengiriman"
"Track Shipment Page", "Status Pesanan"
"Tracking Number(s):", "Nomor Resi:"
"Items Shipped", "Produk Yang Dikirim"
"Product Name", "Nama Produk"
"Qty Shipped", "Jml Pengiriman"
'Gift card account %s is not enabled.', 'Gift voucher %s belum aktif.'
'Gift card account %s is expired.', 'Gift voucher %s sudah tidak berlaku.'
'Gift card account %s balance does not have funds.', 'Saldo gift voucher %s sudah habis.'
'Gift card account %s balance is less than amount to be charged.', 'Saldo gift voucher %s tidak mencukupi jumlah pesanan Anda.'
'Promo Gift Card cannot be combined with other Promo Gift Card', 'Gift Voucher promo tidak dapat digabungkan dengan Gift Voucher promo lainnya'
'Gift card account %s is not valid for promo item %s.', 'Gift voucher %s tidak dapat digunakan untuk produk %s.'
'Gift card account %s is not valid for item %s. Please go back to %s to edit', 'Gift voucher %s tidak dapat digunakan untuk produk %s. Silakan kembali ke %s untuk mengubah'
'Product %s is not assigned to category %s for Gift card account %s.', 'Produk %s tidak masuk dalam kategori %s untuk gift voucher %s.'
'Product %s in category %s is not allowed for Gift card account %s.', 'Gift voucher %s tidak dapat digunakan untuk produk %s pada kategori %s.'
'Amount to be charged is less than Gift card account %s minimum purchase value.', 'Jumlah pesanan Anda tidak memenuhi syarat minimum pembelanjaan Gift Voucher %s'
'Gift card account %s date is not valid at the moment.', 'Gift voucher %s belum bisa digunakan saat ini'
'Wrong gift card code.', 'Kode gift voucher salah.'
"Wrong gift card account ID. Requested code: ""%s""", "ID gift voucher Anda salah. Kode : ""%s"""
"Coupon code ""%s"" is not valid.", "Kode kupon ""%s"" tidak dapat digunakan"
'Wrong gift card account website: %s.', 'Gift voucher tidak dapat digunakan pada website: %s.'
"Apply", "Pakai"
 
"---Checkout Summary---", ""
"Reorder", "Pesan Lagi"
 
"---My Account---", ""
"%s ITEM(S)", "%s PRODUK"
"My Account", "Akun Saya"
"Icube_RedeemPoint::Redeem Point", "Tukar Poin"
"Account Information", "Informasi Akun"
"Dashboard", "Akun Saya"
"Account Panel", "Akun Saya"
"My Order", "Pesanan Saya"
"My Orders", "Pesanan Saya"
"Review History", "Ulasan Produk"
"Newsletter Subscription", "Langganan Newsletter"
"Edit", "Ubah"
"Mage_Sales::Amount", "Jumlah"
"Mage_Sales::Order Number", "Nomor Pesanan"
"Mage_Sales::Date", "Tanggal"
"Mage_Sales::Ship To", "Kirim Ke"
"Billing Address", "Alamat Penagihan"
"Shipping Address", "Alamat Pengiriman"
"Add", "Tambah"
"Male", "Pria"
"Female", "Wanita"
"Gender", "Jenis Kelamin"
"Date of Birth", "Tanggal Lahir"
"First Name", "Nama Depan"
"Last Name", "Nama Belakang"
"Telephone Number", "Nomor Telepon"
"Telephone", "Telepon"
"Click here to change password", "Klik disini untuk mengubah kata sandi"
"Your Orders", "Pesanan Saya"
"Product Reviews", "Ulasan Produk"
"Product Review", "Ulasan Produk"
"Product Reviews Detail", "Detail Ulasan Produk"
"You have submitted no reviews.", "Anda belum mengulas produk apapun"
"Date", "Tanggal"
"Product", "Produk"
"%s Products", "%s Produk"
"%s Product", "%s Produk"
"%s Items", "%s Produk"

"Comment", "Komentar"
"My Wishlist", "Wishlist"
"You have no items in your wishlist.", "Belum ada produk dalam wishlist"
"Mage_Wishlist::In Stock", "Tersedia"
"Mage_Wishlist::Out of Stock", "Habis"
"Mage_Wishlist::Availability", "Ketersediaan"
"Order Number #%s - %s", "No. Pesanan #%s - %s"
"Address Book", "Buku Alamat"
"Your ACE point : ", "Poin Ace Anda :"
"Your Informa point : ", "Poin Informa Anda :"
"Your Toyskingdom point : ", "Poin Toys Kingdom Anda :"
"Icube_RedeemPoint::Exchange", "Tukar"
"Icube_RedeemPoint::Continue Voucher Exchange", "Lanjut tukar voucher"
"Icube_RedeemPoint::Input passkey to exchange voucher", "Masukkan passkey untuk menukar voucher" 
"Icube_RedeemPoint::Press enter to get reward", "Tekan enter untuk mendapatkan reward"
"LET ME KNOW IF THERE ARE:", "Beri tahu saya jika : "
"The rest of your points right now is ", "Sisa poin Anda saat ini adalah "
"Exchange Voucher Succeeded", "Penukaran voucher berhasil"
"You have successfully redeemed your points:", "Anda telah berhasil menukarkan voucher Anda:"
'"Click <a href=''%s''>here</a> to know hot to use the voucher"', '"Klik <a href=''%s''>disini</a> untuk cara penggunaan voucher"'
"Shop Again", "Belanja Lagi"
"Buy Voucher Again", "Beli Voucher Lagi"
"Icube_RedeemPoint::point", "poin"
"Complete", "Sukses"
"Pending", "Tertunda"
"Delete", "Hapus"
 
"---Order Status---", ""
"Check Your Order Status", "Cek Status Pesanan Anda"
"View Status", "Lihat Status"
"Order Number : %s", "Nomor Pesanan : %s"
"%s Item(s)", "%s produk"
"Ordered on %s", "Dipesan tanggal %s"
"PACKAGE CONTAINS", "Paket Berisi"
"SHIPPING ADDRESS", "Alamat Pengiriman"
"ESTIMATION OF ORDER COMPLETE", "Estimasi Produk Sampai"
"ESTIMATION OF PICK UP ORDER", "Estimasi Pengambilan Produk"
"Order Number", "Nomor Pesanan"
"PICKUP LOCATION", "Lokasi Pengambilan"
 
"---RMA---", ""
"Reason to Return", "Alasan Pengembalian"
"Return #%s has been submitted successfully", "Form pengembalian nomor #%s telah disimpan"
"Cannot create rma for order #%s.", "Tidak bisa membuat rma untuk pesanan dengan nomor #%s"
