"Pdf Customiser by Fooman","Pdf Customiser van Fooman"
"Print Order History with Comments","Afdrukken bestelgeschiedenis inclusief opmerkingen"
"Single - Shipping Address Label","Enkel - etiket verzendadres"
"Single - Billing Address Label","Enkel - etiket factuuradres"
"Double - Both Addresses","Dubbel - Beide adressen"
"Use Integrated Labels","Gebruik Geïntegreerde etiketten"
"Print Order as Packing Slip","Print order als pakbon"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Gebruik deze optie als u direct pakbonen wilt uitdraaien zonder eerst een verzending aan te maken. Echter met deze optie ingeschakeld kunt u geen pakbonnen uitdraaien met het verzendnummer erop. (In plaats daarvan wordt het ordernummer gebruikt.)"
"Footer Block 1","Voettekst blok 1"
"Footer Block 2","Voettekst blok 2"
"Footer Block 3","Voettekst blok 3"
"Footer Block 4","Voettekst blok 4"
"Double - Shipping and Return Addresses","Dubbel - zowel verzend- als retouradressen"
"Return Address","Retouradres"
"Total Weight","Totaal Gewicht"
"Display Total Weight","Toon Totaal Gewicht"
"kg","kilo"
"Background Image for Pdf","Achtergrondafbeelding voor Pdf"
"Placement of Logo","Logo locatie"
"Logo Width","Breedte Logo"
"Logo Height","Hoogte Logo"
"Logo top-left Corner from the left","Logo linker-bovenhoek van de linkerzijde"
"Logo top-left Corner from the top","Logo linker-bovenhoek van de bovenzijde"
"automatic","automatisch"
"no-scaling","niet-geschaald"
"manual","handmatig"
"Display Email Address","Toon e-mail adres"
"Displays as part of the billing address.","Wordt weergegeven als onderdeel van het factuuradres"
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Toon rij subtotaal inclusief BTW"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","wordt enkel toegepast indien Btw> Orders, Facturen, Creditnota's Weergaveinstellingen> Prijzen zijn ingesteld zonder weergave BTW"
"Grand Total is tax inclusive","Totaal is inclusief BTW"
"Display only one Grand Total","Toon enkel de totaalprijs"
"Display detailed Tax Summary","Toon gedetailleerd BTW overzicht"
"Columns","Kolommen"
"Columns Advanced","Geavanceerde kolommen"
"Display Background only on first page","Toon achtergrond enkel op de eerste pagina"
"Display Page Number","Toon pagina nummer"
"Custom Column","Eigen kolom"
"Custom Column Attribute","Eigen kolom attribuut"
"Base Amount","Basisbedrag"
"Select up to 5 attributes.","Kies tot 5 attributen"
"Position","Positie"
"Pos","Pos"
"right","rechts"
"left","links"
"Display Pdf in New Window","Toon PDF in een nieuw venster"
"Weight Unit","Gewichtseenheid"
"Barcode Type","Type barcode"
"Pdf Totals Sort Order","Pdf totalen sorteervolgorde"
"Upload Custom Font","Upload eigen lettertype"
"Don't Use","Niet gebruiken"
"Custom Label Left - Shipping Address","Eigen etiket links - verzendadres"
"Custom Label Right - Shipping Address","Eigen etiket rechts - verzendadres"
"Custom Label Left - Billing Address","Eigen etiket links - factuuradres"
"Custom Label Right - Billing Address","Eigen etiket rechts - factuuradres"
"Display Salesrule instead of Coupon Code","Toon promotieregel in plaats van coupon code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combineert cadeauverpakking voor bestellingen, artikelen en gedrukte kaarten"
"Sort by Column","Sorteer per kolom"
"Use Alternative Layout","Gebruik alternatieve lay-out"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Zorg ervoor dat het barcode type geschikt is voor de inhoud om problemen met het genereren van de Pdf te voorkomen. (Standaard: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Dubbel - Verzend- en winkel adressen"
"Double - Shipping with Store Addresses and Image","Dubbel - Verzendden met winkel adressen en logo"
"Display Order Barcode","Toon barcode van bestelling"
"Qty Detailed","Hoeveelheid gespecificeerd"
"Page Orientation","Pagina Indeling"
"Portrait","Staand"
"Landscape","Liggend"
"Display Tracking Number as Barcode","Toon Trackingcode als Barcode"
"Display Document Barcode","Toon Document Barcode"
